Region,Province,Private - Dentist,Public - Dentist,Total - Dentist,Private - Doctor: Clinical,Public - Doctor: Clinical,Total - Doctor: Clinical,Private - Medical Technologist,Public - Medical Technologist,Total - Medical Technologist,Private - Midwife,Public - Midwife,Total - Midwife,Private - Nurse,Public - Nurse,Total - Nurse,Private - Nutritionist/ Dietician,Public - Nutritionist/ Dietician,Total - Nutritionist/ Dietician,Private - Occupational Therapist,Public - Occupational Therapist,Total - Occupational Therapist,Private - Pharmacist,Public - Pharmacist,Total - Pharmacist,Private - Physical Therapist,Public - Physical Therapist,Total - Physical Therapist,Private - Radiologic Technologist,Public - Radiologic Technologist,Total - Radiologic Technologist,Private - X-ray Technologist,Public - X-ray Technologist,Total - X-ray Technologist,Private - Grand Total,Public - Grand Total,Total - Grand Total,clinic,dentist,doctors,healthcare,hospital,laboratory,others,pharmacy,social_facility,Total Amenities,Population
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN (W/ ISABELA CITY),1,2,3,15,9,24,11,6,17,22,24,46,78,62,140,3,2,5,0,0,0,21,3,24,0,0,0,4,3,7,4,0,4,159,111,270,1,0,0,0,4,0,0,2,0,7,556586
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,0,8,8,4,105,109,2,18,20,3,93,96,9,174,183,1,3,4,0,0,0,4,12,16,0,0,0,3,1,4,0,1,1,26,415,441,2,0,0,0,5,0,0,1,0,8,1195518
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO (W/ COTABATO CITY),0,12,12,24,103,127,4,42,46,24,236,260,61,430,491,3,11,14,0,0,0,3,21,24,0,4,4,2,16,18,2,4,6,123,879,1002,3,0,6,0,12,0,1,18,0,40,1667258
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,0,6,6,1,32,33,0,13,13,2,35,37,3,65,68,0,1,1,0,0,0,0,6,6,0,0,0,0,1,1,1,0,1,7,159,166,1,0,0,0,3,0,0,0,0,4,1000108
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,0,5,5,5,18,23,3,14,17,6,92,98,9,70,79,0,3,3,0,0,0,1,4,5,0,0,0,0,2,2,0,0,0,24,208,232,3,0,0,0,3,0,0,2,0,8,440276
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,3,2,5,14,26,40,4,9,13,5,123,128,44,228,272,0,1,1,0,0,0,3,5,8,0,0,0,3,0,3,0,0,0,76,394,470,1,0,2,0,1,0,0,1,0,5,250985
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,0,7,7,0,42,42,0,24,24,0,88,88,0,134,134,0,5,5,0,0,0,0,14,14,0,0,0,0,10,10,0,0,0,0,324,324,1,0,0,0,5,0,0,0,0,6,124366
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,15,24,39,187,207,394,92,63,155,56,155,211,486,565,1051,11,10,21,2,3,5,31,38,69,19,7,26,21,29,50,0,0,0,920,1101,2021,37,13,1,0,28,0,21,70,0,170,827041
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,0,5,5,1,30,31,1,19,20,0,112,112,7,96,103,0,8,8,0,0,0,0,7,7,0,0,0,0,2,2,0,0,0,9,279,288,4,0,1,0,10,0,1,0,0,16,207498
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,1,7,8,15,23,38,8,11,19,5,106,111,46,93,139,1,8,9,0,0,0,2,5,7,0,0,0,2,4,6,0,0,0,80,257,337,1,0,1,0,5,0,0,2,0,9,229570
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,0,11,11,2,29,31,0,26,26,1,115,116,6,124,130,1,9,10,0,0,0,2,11,13,0,2,2,1,8,9,0,0,0,13,335,348,4,1,3,0,13,0,0,6,0,27,158200
MIMAROPA REGION,MARINDUQUE,13,5,18,7,25,32,0,3,3,1,66,67,0,60,60,0,5,5,0,0,0,35,5,40,3,7,10,0,1,1,0,0,0,59,177,236,3,3,0,0,1,0,0,7,0,14,239207
MIMAROPA REGION,OCCIDENTAL MINDORO,0,11,11,14,33,47,0,3,3,9,60,69,13,91,104,0,8,8,0,0,0,3,7,10,1,12,13,0,0,0,0,0,0,40,225,265,17,4,1,0,9,0,2,17,0,50,525354
MIMAROPA REGION,ORIENTAL MINDORO,4,7,11,34,44,78,19,14,33,55,169,224,160,244,404,1,10,11,1,0,1,93,5,98,5,10,15,4,0,4,3,0,3,379,503,882,9,4,3,0,12,0,2,27,0,57,908339
MIMAROPA REGION,PALAWAN,2,19,21,26,57,83,11,26,37,20,231,251,68,192,260,3,10,13,0,0,0,58,15,73,7,15,22,0,6,6,1,0,1,196,571,767,28,3,6,0,22,0,4,37,0,100,1246673
MIMAROPA REGION,ROMBLON,0,9,9,0,38,38,0,7,7,0,89,89,0,114,114,0,5,5,0,0,0,0,5,5,0,0,0,0,2,2,0,0,0,0,269,269,9,0,1,0,7,0,1,8,0,26,308985
NATIONAL CAPITAL REGION (NCR),METROPOLITAN MANILA,98,599,697,5625,3890,9515,2493,1201,3694,834,1947,2781,6879,8161,15040,151,252,403,14,58,72,436,439,875,248,152,400,644,389,1033,165,40,205,17587,17128,34715,532,228,53,1,286,0,160,957,0,2217,13484462
REGION I (ILOCOS REGION),ILOCOS NORTE,13,15,28,51,134,185,22,49,71,17,226,243,149,473,622,2,7,9,0,0,0,146,28,174,2,12,14,3,12,15,3,1,4,408,957,1365,15,1,4,0,22,0,1,21,0,64,609588
REGION I (ILOCOS REGION),ILOCOS SUR,25,12,37,90,52,142,56,22,78,63,206,269,591,222,813,5,3,8,0,0,0,99,9,108,1,0,1,10,4,14,14,3,17,954,533,1487,8,2,1,0,18,0,1,16,0,46,706009
REGION I (ILOCOS REGION),LA UNION,1,13,14,108,148,256,34,71,105,11,265,276,260,418,678,4,11,15,0,1,1,12,33,45,7,6,13,13,22,35,10,1,11,460,989,1449,13,4,3,0,22,0,2,26,0,70,822352
REGION I (ILOCOS REGION),PANGASINAN,115,62,177,347,173,520,135,114,249,96,525,621,1067,863,1930,12,16,28,1,1,2,378,69,447,20,12,32,36,17,53,20,8,28,2227,1860,4087,33,8,3,0,59,0,11,92,0,206,3163190
REGION II (CAGAYAN VALLEY),BATANES,0,6,6,0,7,7,0,2,2,0,18,18,0,56,56,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,91,91,0,0,1,0,2,0,0,1,0,4,18831
REGION II (CAGAYAN VALLEY),CAGAYAN,4,30,34,84,139,223,45,93,138,55,298,353,339,546,885,6,16,22,0,2,2,18,36,54,6,3,9,28,23,51,1,1,2,586,1187,1773,27,0,8,0,29,0,0,15,0,79,1268603
REGION II (CAGAYAN VALLEY),ISABELA,6,34,40,145,106,251,66,65,131,84,534,618,827,541,1368,14,14,28,1,0,1,47,47,94,13,4,17,38,13,51,14,1,15,1255,1359,2614,5,3,6,0,32,0,1,16,0,63,1697050
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,0,15,15,31,78,109,8,42,50,5,161,166,72,329,401,0,8,8,0,0,0,14,15,29,0,0,0,3,8,11,1,1,2,134,657,791,11,2,2,0,11,0,0,5,0,31,497432
REGION II (CAGAYAN VALLEY),QUIRINO,0,14,14,0,25,25,0,16,16,0,104,104,0,102,102,0,4,4,0,0,0,3,8,11,0,0,0,0,3,3,0,0,0,3,276,279,6,0,1,0,1,0,1,1,0,10,203828
REGION III (CENTRAL LUZON),AURORA,0,7,7,0,13,13,0,6,6,0,58,58,0,23,23,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,112,112,1,0,0,0,6,0,1,6,0,14,235750
REGION III (CENTRAL LUZON),BATAAN,2,14,16,87,47,134,50,25,75,23,152,175,183,180,363,3,7,10,0,0,0,9,12,21,1,0,1,5,5,10,1,4,5,364,446,810,15,0,5,0,17,0,0,15,0,52,853373
REGION III (CENTRAL LUZON),BULACAN,20,36,56,461,137,598,174,60,234,108,391,499,1043,471,1514,15,10,25,0,0,0,82,22,104,7,4,11,53,24,77,16,3,19,1979,1158,3137,66,25,4,0,101,0,5,123,1,325,3708890
REGION III (CENTRAL LUZON),NUEVA ECIJA,2,35,37,141,255,396,80,62,142,23,215,238,667,684,1351,13,14,27,0,0,0,34,30,64,9,14,23,33,22,55,19,8,27,1021,1339,2360,30,2,7,0,42,0,1,52,0,134,2310134
REGION III (CENTRAL LUZON),PAMPANGA,10,32,42,486,210,696,173,107,280,105,421,526,1109,641,1750,19,16,35,0,0,0,60,37,97,12,2,14,31,26,57,19,4,23,2024,1496,3520,467,14,9,0,88,33,9,234,0,854,2900637
REGION III (CENTRAL LUZON),TARLAC,6,22,28,155,120,275,90,62,152,64,220,284,516,364,880,11,8,19,0,0,0,39,31,70,9,5,14,24,9,33,12,6,18,926,847,1773,8,4,1,0,22,0,3,29,0,67,1503456
REGION III (CENTRAL LUZON),ZAMBALES,4,8,12,94,154,248,56,54,110,18,119,137,280,405,685,3,9,12,1,0,1,19,21,40,4,0,4,17,15,32,1,13,14,497,798,1295,30,2,2,0,18,0,1,30,0,83,909932
REGION IV-A (CALABARZON),BATANGAS,9,16,25,482,86,568,188,43,231,95,144,239,1615,378,1993,24,23,47,2,0,2,78,23,101,50,2,52,79,12,91,38,6,44,2660,733,3393,55,67,35,0,87,0,17,114,1,376,2908494
REGION IV-A (CALABARZON),CAVITE,6,8,14,486,43,529,126,10,136,104,102,206,1358,339,1697,26,3,29,2,0,2,67,9,76,38,0,38,93,0,93,10,0,10,2316,514,2830,71,49,15,0,92,0,9,201,0,437,4344829
